"~start_node_id","~start_node_labels","~start_node_property_name","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name"
"0","Author","Eryilmaz, Atilla","WROTE_A_PAPER_WITH","1","Author","Shroff, Ness B."
"2","Author","Barbhuiya, Ferdous Ahmed","WROTE_A_PAPER_WITH","3","Author","De, Debashis"
"4","Author","Om, Hari","WROTE_A_PAPER_WITH","5","Author","Rangwani, Diksha"
"6","Author","Li, Yiran","WROTE_A_PAPER_WITH","7","Author","Xu, Jie"
"8","Author","Cao, Xuelin","WROTE_A_PAPER_WITH","9","Author","Elmossallamy, Mohamed A."
"10","Author","Eged, Bertalan","WROTE_A_PAPER_WITH","11","Author","Gaspar, Ivan"
"12","Author","Zhang, Lijuan","WROTE_A_PAPER_WITH","13","Author","de Souza, Renato W. R."
"14","Author","Kumar, Dasari Lokesh Sai","WROTE_A_PAPER_WITH","15","Author","Ramamoorthi, Jaya Subalakshmi"
"16","Author","Jin, Jionghua","WROTE_A_PAPER_WITH","17","Author","Singh, Karandeep"
"18","Author","Patranabis, Sikhar","WROTE_A_PAPER_WITH","19","Author","Roy, Debapriya Basu"
"20","Author","Gao, Pengcheng","WROTE_A_PAPER_WITH","21","Author","Han, Zhu"
"22","Author","Liu, Qiang","WROTE_A_PAPER_WITH","23","Author","Tian, Daxin"
"24","Author","AlQahtani, Salman Ali","WROTE_A_PAPER_WITH","25","Author","Manikandan, Ramachandran"
"26","Author","Song, Xiangnan","WROTE_A_PAPER_WITH","27","Author","Wang, Shuiling"
"28","Author","Abbasian, Mahyar","WROTE_A_PAPER_WITH","29","Author","Labbaf, Sina"
"30","Author","Zhang, Hui","WROTE_A_PAPER_WITH","31","Author","Zhao, Xinyu"
"32","Author","Li, Wenzao","WROTE_A_PAPER_WITH","33","Author","Liu, Jiangchuan"
"34","Author","Bugar, Gabriel","WROTE_A_PAPER_WITH","35","Author","Gazda, Vladimir"
"36","Author","Shen, Yulong","WROTE_A_PAPER_WITH","37","Author","Yong, Jianming"
"38","Author","Apthorpe, Noah","WROTE_A_PAPER_WITH","39","Author","Emami-Naeini, Pardis"
"40","Author","Metwally, Ahmed Sayed M.","WROTE_A_PAPER_WITH","41","Author","Mohamad, Ummul Hanan"
"42","Author","Passos, Leandro A.","WROTE_A_PAPER_WITH","12","Author","Zhang, Lijuan"
"43","Author","Jing, Weizhe","WROTE_A_PAPER_WITH","44","Author","Ju, Yun"
"45","Author","Cheng, Yong","WROTE_A_PAPER_WITH","46","Author","Xu, Xiaolong"
"47","Author","Li, Beibei","WROTE_A_PAPER_WITH","48","Author","Li, Kwok Hung"
"49","Author","Wang, Kunyu","WROTE_A_PAPER_WITH","50","Author","Zhang, Lin"
"51","Author","Liu, Pei","WROTE_A_PAPER_WITH","52","Author","Yu, Baoguo"
"53","Author","Feng, Man","WROTE_A_PAPER_WITH","54","Author","Wu, Yue"
"55","Author","Imran, Muhammad","WROTE_A_PAPER_WITH","56","Author","Yang, Shufan"
"57","Author","Alam, Shadab","WROTE_A_PAPER_WITH","58","Author","Khubrani, Mousa Mohammed"
"59","Author","Li, Shining","WROTE_A_PAPER_WITH","60","Author","Zhang, Yu"
"61","Author","Hao, Yue","WROTE_A_PAPER_WITH","62","Author","You, Xiaohu"
"63","Author","Chen, Xingxing","WROTE_A_PAPER_WITH","64","Author","Yang, Weidong"
"65","Author","Chen, Sirui","WROTE_A_PAPER_WITH","66","Author","De Albuquerque, Victor Hugo C."
"67","Author","Dong, Hongbin","WROTE_A_PAPER_WITH","68","Author","Yu, Xiaodong"
"69","Author","Kang, Jiawen","WROTE_A_PAPER_WITH","70","Author","Zhao, Ruihui"
"71","Author","Dittrich, Timothy","WROTE_A_PAPER_WITH","72","Author","Gopalakrishnan, Kishore"
"73","Author","Cao, Wenliang","WROTE_A_PAPER_WITH","74","Author","Chen, Ruey-Shun"
"75","Author","Shen, Shuaiqi","WROTE_A_PAPER_WITH","76","Author","Yu, Chong"
"77","Author","Suganthi, P.","WROTE_A_PAPER_WITH","78","Author","Vetriveeran, Divya"
"79","Author","Han, Guangjie","WROTE_A_PAPER_WITH","80","Author","Ma, Ju"
"81","Author","Benson, James","WROTE_A_PAPER_WITH","82","Author","Gupta, Maanak"
"83","Author","Foreman, Justin","WROTE_A_PAPER_WITH","84","Author","Musa, Sarhan"
"85","Author","Alageswaran, R.","WROTE_A_PAPER_WITH","86","Author","Miruna Joe Amali, S."
"87","Author","Hua, Kun","WROTE_A_PAPER_WITH","88","Author","Liao, Weixian"
"89","Author","Long, Hoang Viet","WROTE_A_PAPER_WITH","90","Author","Vimal, S."
"91","Author","Duan, Yucong","WROTE_A_PAPER_WITH","92","Author","Zhu, Donghai"
"93","Author","Qian, Kan","WROTE_A_PAPER_WITH","94","Author","Wang, He"
"95","Author","Wang, Chao","WROTE_A_PAPER_WITH","96","Author","Wang, Xiaohu"
"97","Author","Bi, Zhichao","WROTE_A_PAPER_WITH","98","Author","Tian, Yonghong"
"99","Author","Hua, Zhongyun","WROTE_A_PAPER_WITH","100","Author","Zhang, Yushu"
"101","Author","Liu, Fang","WROTE_A_PAPER_WITH","102","Author","Yang, Yingzhong"
"103","Author","Feng, Jim","WROTE_A_PAPER_WITH","104","Author","Liu, Jian"
"105","Author","Din, Ikram Ud","WROTE_A_PAPER_WITH","106","Author","Shah, Munam Ali"
"107","Author","Rawat, Danda B.","WROTE_A_PAPER_WITH","108","Author","Uqaili, Muhammad Aslam"
"109","Author","Fang, Baofu","WROTE_A_PAPER_WITH","110","Author","Guo, Xiaoping"
"111","Author","Chopade, Pravin Balaso","WROTE_A_PAPER_WITH","112","Author","Ghate, Pravin Marotrao"
"113","Author","Li, Tianxing","WROTE_A_PAPER_WITH","114","Author","Zhang, Xiao"
"115","Author","Bai, Yu","WROTE_A_PAPER_WITH","116","Author","Sun, Yunchuan"
"117","Author","Narayana, Ch. Lakshmi","WROTE_A_PAPER_WITH","118","Author","Singh, Rajesh"
"119","Author","Chen, Siguang","WROTE_A_PAPER_WITH","120","Author","Wang, Kun"
"121","Author","Abdolee, Reza","WROTE_A_PAPER_WITH","122","Author","Tazekand, Behzad Mozaffari"
"123","Author","Firouzi, Farshad","WROTE_A_PAPER_WITH","124","Author","Loh, Po-Shen"
"125","Author","Tang, Xiaolan","WROTE_A_PAPER_WITH","126","Author","Yang, Laurence T."
"127","Author","Li, Jie","WROTE_A_PAPER_WITH","128","Author","Wu, Chentao"
"129","Author","Santhosh Kumar, Sripathi Venkata Naga","WROTE_A_PAPER_WITH","130","Author","Shanmugapriya, Rathinam"
