"~id","~labels","name"
"0","Author","Eryilmaz, Atilla"
"1","Author","Shroff, Ness B."
"2","Author","Barbhuiya, Ferdous Ahmed"
"3","Author","De, Debashis"
"4","Author","Om, Hari"
"5","Author","Rangwani, Diksha"
"6","Author","Li, Yiran"
"7","Author","Xu, Jie"
"8","Author","Cao, Xuelin"
"9","Author","Elmossallamy, Mohamed A."
"10","Author","Eged, Bertalan"
"11","Author","Gaspar, Ivan"
"12","Author","Zhang, Lijuan"
"13","Author","de Souza, Renato W. R."
"14","Author","Kumar, Dasari Lokesh Sai"
"15","Author","Ramamoorthi, Jaya Subalakshmi"
"16","Author","Jin, Jionghua"
"17","Author","Singh, Karandeep"
"18","Author","Patranabis, Sikhar"
"19","Author","Roy, Debapriya Basu"
"20","Author","Gao, Pengcheng"
"21","Author","Han, Zhu"
"22","Author","Liu, Qiang"
"23","Author","Tian, Daxin"
"24","Author","AlQahtani, Salman Ali"
"25","Author","Manikandan, Ramachandran"
"26","Author","Song, Xiangnan"
"27","Author","Wang, Shuiling"
"28","Author","Abbasian, Mahyar"
"29","Author","Labbaf, Sina"
"30","Author","Zhang, Hui"
"31","Author","Zhao, Xinyu"
"32","Author","Li, Wenzao"
"33","Author","Liu, Jiangchuan"
"34","Author","Bugar, Gabriel"
"35","Author","Gazda, Vladimir"
"36","Author","Shen, Yulong"
"37","Author","Yong, Jianming"
"38","Author","Apthorpe, Noah"
"39","Author","Emami-Naeini, Pardis"
"40","Author","Metwally, Ahmed Sayed M."
"41","Author","Mohamad, Ummul Hanan"
"42","Author","Passos, Leandro A."
"43","Author","Jing, Weizhe"
"44","Author","Ju, Yun"
"45","Author","Cheng, Yong"
"46","Author","Xu, Xiaolong"
"47","Author","Li, Beibei"
"48","Author","Li, Kwok Hung"
"49","Author","Wang, Kunyu"
"50","Author","Zhang, Lin"
"51","Author","Liu, Pei"
"52","Author","Yu, Baoguo"
"53","Author","Feng, Man"
"54","Author","Wu, Yue"
"55","Author","Imran, Muhammad"
"56","Author","Yang, Shufan"
"57","Author","Alam, Shadab"
"58","Author","Khubrani, Mousa Mohammed"
"59","Author","Li, Shining"
"60","Author","Zhang, Yu"
"61","Author","Hao, Yue"
"62","Author","You, Xiaohu"
"63","Author","Chen, Xingxing"
"64","Author","Yang, Weidong"
"65","Author","Chen, Sirui"
"66","Author","De Albuquerque, Victor Hugo C."
"67","Author","Dong, Hongbin"
"68","Author","Yu, Xiaodong"
"69","Author","Kang, Jiawen"
"70","Author","Zhao, Ruihui"
"71","Author","Dittrich, Timothy"
"72","Author","Gopalakrishnan, Kishore"
"73","Author","Cao, Wenliang"
"74","Author","Chen, Ruey-Shun"
"75","Author","Shen, Shuaiqi"
"76","Author","Yu, Chong"
"77","Author","Suganthi, P."
"78","Author","Vetriveeran, Divya"
"79","Author","Han, Guangjie"
"80","Author","Ma, Ju"
"81","Author","Benson, James"
"82","Author","Gupta, Maanak"
"83","Author","Foreman, Justin"
"84","Author","Musa, Sarhan"
"85","Author","Alageswaran, R."
"86","Author","Miruna Joe Amali, S."
"87","Author","Hua, Kun"
"88","Author","Liao, Weixian"
"89","Author","Long, Hoang Viet"
"90","Author","Vimal, S."
"91","Author","Duan, Yucong"
"92","Author","Zhu, Donghai"
"93","Author","Qian, Kan"
"94","Author","Wang, He"
"95","Author","Wang, Chao"
