"~id","~start_node_id","~end_node_id","~relationship_type"
"0","0","1","WROTE_A_PAPER_WITH"
"1","2","3","WROTE_A_PAPER_WITH"
"2","4","5","WROTE_A_PAPER_WITH"
"3","6","7","WROTE_A_PAPER_WITH"
"4","8","9","WROTE_A_PAPER_WITH"
"5","10","11","WROTE_A_PAPER_WITH"
"6","12","13","WROTE_A_PAPER_WITH"
"7","14","15","WROTE_A_PAPER_WITH"
"8","16","17","WROTE_A_PAPER_WITH"
"9","18","19","WROTE_A_PAPER_WITH"
"10","20","21","WROTE_A_PAPER_WITH"
"11","22","23","WROTE_A_PAPER_WITH"
"12","24","25","WROTE_A_PAPER_WITH"
"13","26","27","WROTE_A_PAPER_WITH"
"14","28","29","WROTE_A_PAPER_WITH"
"15","30","31","WROTE_A_PAPER_WITH"
"16","32","33","WROTE_A_PAPER_WITH"
"17","34","35","WROTE_A_PAPER_WITH"
"18","36","37","WROTE_A_PAPER_WITH"
"19","38","39","WROTE_A_PAPER_WITH"
"20","40","41","WROTE_A_PAPER_WITH"
"21","42","12","WROTE_A_PAPER_WITH"
"22","43","44","WROTE_A_PAPER_WITH"
"23","45","46","WROTE_A_PAPER_WITH"
"24","47","48","WROTE_A_PAPER_WITH"
"25","49","50","WROTE_A_PAPER_WITH"
"26","51","52","WROTE_A_PAPER_WITH"
"27","53","54","WROTE_A_PAPER_WITH"
"28","55","56","WROTE_A_PAPER_WITH"
"29","57","58","WROTE_A_PAPER_WITH"
"30","59","60","WROTE_A_PAPER_WITH"
"31","61","62","WROTE_A_PAPER_WITH"
"32","63","64","WROTE_A_PAPER_WITH"
"33","65","66","WROTE_A_PAPER_WITH"
"34","67","68","WROTE_A_PAPER_WITH"
"35","69","70","WROTE_A_PAPER_WITH"
"36","71","72","WROTE_A_PAPER_WITH"
"37","73","74","WROTE_A_PAPER_WITH"
"38","75","76","WROTE_A_PAPER_WITH"
"39","77","78","WROTE_A_PAPER_WITH"
"40","79","80","WROTE_A_PAPER_WITH"
"41","81","82","WROTE_A_PAPER_WITH"
"42","83","84","WROTE_A_PAPER_WITH"
"43","85","86","WROTE_A_PAPER_WITH"
"44","87","88","WROTE_A_PAPER_WITH"
"45","89","90","WROTE_A_PAPER_WITH"
"46","91","92","WROTE_A_PAPER_WITH"
"47","93","94","WROTE_A_PAPER_WITH"
"48","95","96","WROTE_A_PAPER_WITH"
"49","97","98","WROTE_A_PAPER_WITH"
"50","99","100","WROTE_A_PAPER_WITH"
"51","101","102","WROTE_A_PAPER_WITH"
"52","103","104","WROTE_A_PAPER_WITH"
"53","105","106","WROTE_A_PAPER_WITH"
"54","107","108","WROTE_A_PAPER_WITH"
"55","109","110","WROTE_A_PAPER_WITH"
"56","111","112","WROTE_A_PAPER_WITH"
"57","113","114","WROTE_A_PAPER_WITH"
"58","115","116","WROTE_A_PAPER_WITH"
"59","117","118","WROTE_A_PAPER_WITH"
"60","119","120","WROTE_A_PAPER_WITH"
"61","121","122","WROTE_A_PAPER_WITH"
"62","123","124","WROTE_A_PAPER_WITH"
"63","125","126","WROTE_A_PAPER_WITH"
"64","127","128","WROTE_A_PAPER_WITH"
"65","129","130","WROTE_A_PAPER_WITH"
"66","131","132","WROTE_A_PAPER_WITH"
"67","133","134","WROTE_A_PAPER_WITH"
"68","135","136","WROTE_A_PAPER_WITH"
"69","137","138","WROTE_A_PAPER_WITH"
"70","139","140","WROTE_A_PAPER_WITH"
"71","141","142","WROTE_A_PAPER_WITH"
"72","143","144","WROTE_A_PAPER_WITH"
"73","145","146","WROTE_A_PAPER_WITH"
"74","147","148","WROTE_A_PAPER_WITH"
"75","85","149","WROTE_A_PAPER_WITH"
"76","150","151","WROTE_A_PAPER_WITH"
"77","152","153","WROTE_A_PAPER_WITH"
"78","154","155","WROTE_A_PAPER_WITH"
"79","156","157","WROTE_A_PAPER_WITH"
"80","158","159","WROTE_A_PAPER_WITH"
"81","160","161","WROTE_A_PAPER_WITH"
"82","162","163","WROTE_A_PAPER_WITH"
"83","164","165","WROTE_A_PAPER_WITH"
"84","166","167","WROTE_A_PAPER_WITH"
"85","168","169","WROTE_A_PAPER_WITH"
"86","170","171","WROTE_A_PAPER_WITH"
"87","172","173","WROTE_A_PAPER_WITH"
"88","174","175","WROTE_A_PAPER_WITH"
"89","176","177","WROTE_A_PAPER_WITH"
"90","178","179","WROTE_A_PAPER_WITH"
"91","180","181","WROTE_A_PAPER_WITH"
"92","182","183","WROTE_A_PAPER_WITH"
"93","184","185","WROTE_A_PAPER_WITH"
"94","186","187","WROTE_A_PAPER_WITH"
"95","188","189","WROTE_A_PAPER_WITH"
"96","190","191","WROTE_A_PAPER_WITH"
"97","192","193","WROTE_A_PAPER_WITH"
"98","194","195","WROTE_A_PAPER_WITH"
"99","196","197","WROTE_A_PAPER_WITH"
"100","198","199","WROTE_A_PAPER_WITH"
"101","200","201","WROTE_A_PAPER_WITH"
"102","202","203","WROTE_A_PAPER_WITH"
"103","204","205","WROTE_A_PAPER_WITH"
"104","206","207","WROTE_A_PAPER_WITH"
"105","208","209","WROTE_A_PAPER_WITH"
"106","210","211","WROTE_A_PAPER_WITH"
"107","212","213","WROTE_A_PAPER_WITH"
"108","214","215","WROTE_A_PAPER_WITH"
"109","216","217","WROTE_A_PAPER_WITH"
"110","218","219","WROTE_A_PAPER_WITH"
"111","220","221","WROTE_A_PAPER_WITH"
"112","222","223","WROTE_A_PAPER_WITH"
"113","224","225","WROTE_A_PAPER_WITH"
"114","226","227","WROTE_A_PAPER_WITH"
"115","228","229","WROTE_A_PAPER_WITH"
"116","230","231","WROTE_A_PAPER_WITH"
"117","232","233","WROTE_A_PAPER_WITH"
"118","234","235","WROTE_A_PAPER_WITH"
"119","236","237","WROTE_A_PAPER_WITH"
"120","238","239","WROTE_A_PAPER_WITH"
"121","240","241","WROTE_A_PAPER_WITH"
"122","242","243","WROTE_A_PAPER_WITH"
"123","244","245","WROTE_A_PAPER_WITH"
"124","246","247","WROTE_A_PAPER_WITH"
"125","248","249","WROTE_A_PAPER_WITH"
"126","250","251","WROTE_A_PAPER_WITH"
"127","252","253","WROTE_A_PAPER_WITH"
"128","254","255","WROTE_A_PAPER_WITH"
"129","256","257","WROTE_A_PAPER_WITH"
"130","258","259","WROTE_A_PAPER_WITH"
"131","260","261","WROTE_A_PAPER_WITH"
"132","262","263","WROTE_A_PAPER_WITH"
"133","264","265","WROTE_A_PAPER_WITH"
"134","266","267","WROTE_A_PAPER_WITH"
"135","268","269","WROTE_A_PAPER_WITH"
"136","270","271","WROTE_A_PAPER_WITH"
"137","272","273","WROTE_A_PAPER_WITH"
"138","274","275","WROTE_A_PAPER_WITH"
"139","276","277","WROTE_A_PAPER_WITH"
"140","278","279","WROTE_A_PAPER_WITH"
"141","280","281","WROTE_A_PAPER_WITH"
"142","282","283","WROTE_A_PAPER_WITH"
"143","284","285","WROTE_A_PAPER_WITH"
"144","286","287","WROTE_A_PAPER_WITH"
"145","288","289","WROTE_A_PAPER_WITH"
"146","290","291","WROTE_A_PAPER_WITH"
"147","292","293","WROTE_A_PAPER_WITH"
"148","294","295","WROTE_A_PAPER_WITH"
"149","296","297","WROTE_A_PAPER_WITH"
"150","298","299","WROTE_A_PAPER_WITH"
"151","300","301","WROTE_A_PAPER_WITH"
"152","302","303","WROTE_A_PAPER_WITH"
"153","304","305","WROTE_A_PAPER_WITH"
"154","306","307","WROTE_A_PAPER_WITH"
"155","308","309","WROTE_A_PAPER_WITH"
"156","310","311","WROTE_A_PAPER_WITH"
"157","312","313","WROTE_A_PAPER_WITH"
"158","314","315","WROTE_A_PAPER_WITH"
"159","316","317","WROTE_A_PAPER_WITH"
"160","318","319","WROTE_A_PAPER_WITH"
"161","320","321","WROTE_A_PAPER_WITH"
"162","322","323","WROTE_A_PAPER_WITH"
"163","324","325","WROTE_A_PAPER_WITH"
"164","326","327","WROTE_A_PAPER_WITH"
"165","328","329","WROTE_A_PAPER_WITH"
"166","330","331","WROTE_A_PAPER_WITH"
"167","332","333","WROTE_A_PAPER_WITH"
"168","334","335","WROTE_A_PAPER_WITH"
"169","336","337","WROTE_A_PAPER_WITH"
"170","338","339","WROTE_A_PAPER_WITH"
"171","340","341","WROTE_A_PAPER_WITH"
"172","342","343","WROTE_A_PAPER_WITH"
"173","344","345","WROTE_A_PAPER_WITH"
"174","346","347","WROTE_A_PAPER_WITH"
"175","348","349","WROTE_A_PAPER_WITH"
"176","350","351","WROTE_A_PAPER_WITH"
"177","352","253","WROTE_A_PAPER_WITH"
"178","353","354","WROTE_A_PAPER_WITH"
"179","355","356","WROTE_A_PAPER_WITH"
"180","357","358","WROTE_A_PAPER_WITH"
"181","359","360","WROTE_A_PAPER_WITH"
"182","361","362","WROTE_A_PAPER_WITH"
"183","363","364","WROTE_A_PAPER_WITH"
"184","365","366","WROTE_A_PAPER_WITH"
"185","367","368","WROTE_A_PAPER_WITH"
"186","369","370","WROTE_A_PAPER_WITH"
"187","371","372","WROTE_A_PAPER_WITH"
"188","373","374","WROTE_A_PAPER_WITH"
"189","375","376","WROTE_A_PAPER_WITH"
"190","377","378","WROTE_A_PAPER_WITH"
"191","379","380","WROTE_A_PAPER_WITH"
"192","381","382","WROTE_A_PAPER_WITH"
"193","383","384","WROTE_A_PAPER_WITH"
"194","385","386","WROTE_A_PAPER_WITH"
"195","387","388","WROTE_A_PAPER_WITH"
"196","389","390","WROTE_A_PAPER_WITH"
"197","391","392","WROTE_A_PAPER_WITH"
"198","393","394","WROTE_A_PAPER_WITH"
"199","395","396","WROTE_A_PAPER_WITH"
"200","397","398","WROTE_A_PAPER_WITH"
"201","399","400","WROTE_A_PAPER_WITH"
"202","401","402","WROTE_A_PAPER_WITH"
"203","403","404","WROTE_A_PAPER_WITH"
"204","405","21","WROTE_A_PAPER_WITH"
"205","406","407","WROTE_A_PAPER_WITH"
"206","408","409","WROTE_A_PAPER_WITH"
"207","410","411","WROTE_A_PAPER_WITH"
"208","412","413","WROTE_A_PAPER_WITH"
"209","414","415","WROTE_A_PAPER_WITH"
"210","416","417","WROTE_A_PAPER_WITH"
"211","418","419","WROTE_A_PAPER_WITH"
"212","420","421","WROTE_A_PAPER_WITH"
"213","422","423","WROTE_A_PAPER_WITH"
"214","424","425","WROTE_A_PAPER_WITH"
"215","426","427","WROTE_A_PAPER_WITH"
"216","428","429","WROTE_A_PAPER_WITH"
"217","430","431","WROTE_A_PAPER_WITH"
"218","432","433","WROTE_A_PAPER_WITH"
"219","434","435","WROTE_A_PAPER_WITH"
"220","436","437","WROTE_A_PAPER_WITH"
"221","438","439","WROTE_A_PAPER_WITH"
"222","440","441","WROTE_A_PAPER_WITH"
